code_period,code_present_place,date_receipt,fid,s40,year,quarter
21,214,2019-04-08,11899,0,2015,1
22,214,2019-04-08,11899,0,2015,2
23,214,2019-04-08,11899,0,2015,3
24,214,2019-04-08,11899,0,2015,4
22,214,2019-07-10,149602,405610,2017,2
22,214,2019-07-12,82269,0,2017,2
23,214,2019-07-12,106026,117059,2017,3
23,214,2019-07-11,39704,65306,2017,3
24,214,2019-07-10,35149,12858067,2017,4
24,214,2019-07-11,193190,86637,2017,4
24,214,2019-07-15,10489,110277,2017,4
24,214,2019-07-15,152416,63577,2017,4
24,214,2019-07-10,180488,0,2017,4
21,214,2019-07-12,82269,0,2018,1
21,214,2019-07-09,185686,0,2018,1
21,214,2019-07-09,114900,5896908,2018,1
21,214,2019-07-12,106026,212444,2018,1
21,214,2019-07-15,152170,236054,2018,1
22,214,2019-07-15,73865,3396,2018,2
22,214,2019-07-09,185686,5308250,2018,2
22,214,2019-07-12,18974,0,2018,2
23,214,2019-07-11,37321,16733,2018,3
23,214,2019-07-10,106835,0,2018,3
23,214,2019-07-10,131942,15789373,2018,3
23,214,2019-07-12,82269,0,2018,3
23,214,2019-07-11,150988,177947,2018,3
23,214,2019-07-12,18974,0,2018,3
23,214,2019-07-10,161914,143202,2018,3
23,214,2019-07-11,143398,12173386,2018,3
23,214,2019-07-09,185686,12557789,2018,3
23,214,2019-07-12,106026,184643,2018,3
23,214,2019-07-12,23481,8848988,2018,3
23,214,2019-07-09,169629,1,2018,3
23,214,2019-07-09,57440,559327,2018,3
23,214,2019-07-12,166495,807878,2018,3
24,214,2019-07-10,89763,679961,2018,4
24,214,2019-07-13,104892,143,2018,4
24,214,2019-07-09,177428,197586,2018,4
24,214,2019-07-09,53340,14612885,2018,4
24,214,2019-07-11,12255,0,2018,4
24,214,2019-07-12,106026,127517,2018,4
24,214,2019-07-10,94764,0,2018,4
24,214,2019-07-10,67879,894280,2018,4
24,214,2019-07-12,82269,0,2018,4
24,214,2019-07-12,184978,49402,2018,4
24,214,2019-07-15,126676,2466813,2018,4
21,214,2019-04-17,8536,0,2019,1
21,214,2019-04-10,9805,0,2019,1
21,214,2019-04-07,19370,0,2019,1
21,214,2019-04-04,24450,0,2019,1
21,214,2019-04-22,26089,81083,2019,1
21,214,2019-06-06,29455,3757,2019,1
21,214,2019-04-23,29827,489786,2019,1
21,214,2020-08-28,32091,35529,2019,1
21,214,2020-02-18,36605,6791,2019,1
21,214,2019-04-16,43955,42,2019,1
21,214,2019-04-15,46377,0,2019,1
21,214,2019-04-14,50220,0,2019,1
21,214,2019-04-22,52574,0,2019,1
21,214,2019-06-28,68623,0,2019,1
21,214,2019-06-23,68964,84604,2019,1
21,214,2019-05-24,80383,1169,2019,1
21,214,2019-06-06,81442,0,2019,1
21,214,2019-04-18,91475,0,2019,1
21,214,2019-04-24,98697,213870,2019,1
21,214,2020-02-11,104823,4703,2019,1
21,214,2019-04-14,107819,1756,2019,1
21,214,2019-04-16,136791,0,2019,1
21,214,2019-04-02,137963,0,2019,1
21,214,2019-04-18,138771,0,2019,1
21,214,2019-04-25,159676,0,2019,1
21,214,2019-04-22,165959,33358,2019,1
21,214,2019-04-22,167605,0,2019,1
21,214,2019-04-24,168739,60320,2019,1
21,214,2019-04-16,170921,0,2019,1
21,214,2019-04-15,186275,11063,2019,1
21,214,2020-01-14,187792,77305,2019,1
21,214,2019-04-21,190202,0,2019,1
21,214,2019-04-23,197294,852550,2019,1
21,214,2019-04-23,198923,0,2019,1
21,214,2019-04-25,16149,42839,2019,1
21,214,2019-04-22,18805,0,2019,1
21,214,2019-04-11,25953,0,2019,1
21,214,2019-04-02,44215,0,2019,1
21,214,2019-04-23,49931,0,2019,1
21,214,2019-04-24,55046,0,2019,1
21,214,2019-04-19,56521,0,2019,1
21,214,2019-04-20,66420,0,2019,1
21,214,2019-04-24,75763,0,2019,1
21,214,2019-04-18,79941,76337,2019,1
21,214,2019-04-25,82190,13333,2019,1
21,214,2019-04-29,86943,0,2019,1
21,214,2019-06-06,87889,20691,2019,1
21,214,2019-08-08,91607,0,2019,1
21,214,2019-04-15,92058,0,2019,1
21,214,2019-04-10,92424,123591,2019,1
21,214,2019-04-22,96478,20070,2019,1
21,214,2019-04-17,96602,0,2019,1
21,214,2019-04-17,105883,658348,2019,1
21,214,2019-06-25,106367,12,2019,1
21,214,2019-07-15,107705,35395,2019,1
21,214,2019-04-11,107762,0,2019,1
21,214,2019-04-26,125442,0,2019,1
21,214,2019-04-22,127672,0,2019,1
21,214,2019-04-25,132570,0,2019,1
21,214,2019-04-24,139803,0,2019,1
21,214,2019-04-09,140603,0,2019,1
21,214,2019-04-22,141213,0,2019,1
21,214,2019-06-11,150433,432063,2019,1
21,214,2019-04-23,150973,1884398,2019,1
21,214,2019-04-22,162454,0,2019,1
21,214,2019-04-24,165955,204673,2019,1
21,214,2019-04-25,167177,8038263,2019,1
21,231,2019-11-27,168291,0,2019,1
21,214,2020-01-30,169736,19982,2019,1
21,214,2019-04-10,170616,0,2019,1
21,214,2019-04-18,179876,8919,2019,1
21,214,2019-04-15,190547,5671,2019,1
21,214,2019-04-22,199616,0,2019,1
21,214,2019-04-23,9948,21310,2019,1
21,214,2019-04-25,14671,28055,2019,1
21,214,2019-04-04,22908,0,2019,1
21,214,2019-04-22,55091,1958,2019,1
21,214,2019-08-16,62579,2260651,2019,1
21,214,2019-04-22,71880,0,2019,1
21,214,2019-04-05,77988,0,2019,1
21,214,2019-04-05,87119,0,2019,1
21,214,2019-04-16,87333,0,2019,1
21,214,2019-04-25,93250,0,2019,1
21,214,2020-03-25,94556,88901,2019,1
21,214,2019-04-15,104677,0,2019,1
21,214,2019-04-19,105987,0,2019,1
21,214,2019-07-19,121021,10854,2019,1
21,214,2019-04-16,121848,0,2019,1
21,214,2019-04-12,127253,0,2019,1
21,214,2019-04-11,138435,0,2019,1
21,214,2019-04-04,172023,0,2019,1
21,214,2019-06-06,180615,0,2019,1
21,214,2019-04-25,185016,474693,2019,1
21,214,2019-04-13,13907,0,2019,1
21,214,2019-04-25,17151,324,2019,1
21,214,2019-04-23,22163,0,2019,1
21,214,2019-04-25,28066,75806,2019,1
21,214,2019-06-19,36104,489457,2019,1
21,214,2019-04-10,36732,0,2019,1
21,214,2019-04-19,51311,0,2019,1
21,214,2019-04-15,56676,0,2019,1
21,214,2019-04-25,62789,102863,2019,1
21,214,2019-07-02,64286,0,2019,1
21,214,2019-04-12,65913,0,2019,1
21,214,2019-04-16,66761,0,2019,1
21,214,2019-06-10,66945,60853,2019,1
21,214,2019-04-18,73899,0,2019,1
21,214,2019-04-15,73993,0,2019,1
21,214,2019-04-24,82658,0,2019,1
21,214,2019-04-24,88606,0,2019,1
21,214,2019-04-25,97766,8271426,2019,1
21,214,2019-10-23,103885,593807,2019,1
21,214,2019-04-25,105307,0,2019,1
21,214,2019-04-25,115104,0,2019,1
21,214,2019-12-05,122173,0,2019,1
21,214,2019-04-08,123568,0,2019,1
21,214,2019-04-24,131642,984891,2019,1
21,214,2019-04-23,145500,5861,2019,1
21,214,2019-04-24,155093,0,2019,1
21,214,2019-04-01,160697,0,2019,1
21,214,2019-04-21,177799,0,2019,1
21,214,2019-04-08,185274,0,2019,1
21,214,2019-04-25,192761,224607,2019,1
21,214,2019-04-24,194131,160870,2019,1
21,214,2019-04-09,197308,0,2019,1
21,214,2019-07-13,10003,34558,2019,1
21,214,2019-04-08,24498,0,2019,1
21,214,2019-04-22,29211,0,2019,1
21,214,2019-04-19,34742,200,2019,1
21,214,2019-04-19,34994,119030,2019,1
21,214,2019-08-01,35698,14870,2019,1
21,214,2019-04-22,68121,3479085,2019,1
21,214,2019-10-28,70286,2851,2019,1
21,214,2019-04-07,87205,0,2019,1
21,214,2019-04-23,87244,814400,2019,1
21,231,2019-06-25,92372,0,2019,1
21,214,2019-04-25,93673,19249,2019,1
21,214,2019-04-24,98755,0,2019,1
21,214,2019-04-24,105658,19959,2019,1
21,214,2019-04-24,105891,2006536,2019,1
21,214,2019-04-22,117644,4567,2019,1
21,214,2020-11-11,119764,83211,2019,1
21,214,2019-04-18,127356,147,2019,1
21,214,2019-10-18,128885,234861,2019,1
21,214,2019-07-05,128966,0,2019,1
21,214,2019-05-29,135902,0,2019,1
21,214,2019-04-15,139202,0,2019,1
21,214,2019-12-06,142296,150436,2019,1
21,214,2019-04-24,155175,0,2019,1
21,214,2019-04-15,155853,0,2019,1
21,214,2019-04-24,156736,33199,2019,1
21,214,2019-04-28,165012,0,2019,1
21,231,2019-06-03,168268,0,2019,1
21,214,2019-04-22,176244,0,2019,1
21,214,2019-04-24,182392,0,2019,1
21,214,2020-03-31,185672,441886,2019,1
21,214,2019-04-22,190237,175059,2019,1
21,214,2019-04-16,190592,0,2019,1
21,214,2019-04-02,196525,0,2019,1
21,214,2019-04-21,8598,0,2019,1
21,214,2019-04-25,12365,16267,2019,1
21,214,2020-02-12,15343,0,2019,1
21,214,2019-04-11,15548,0,2019,1
21,214,2019-08-19,20450,25380,2019,1
21,214,2019-04-25,33531,41972,2019,1
21,214,2020-05-20,40776,51710627,2019,1
21,214,2019-04-01,48761,0,2019,1
21,214,2020-01-09,53860,0,2019,1
21,214,2019-04-11,67790,5593,2019,1
21,214,2019-04-24,76274,325477,2019,1
21,214,2019-04-22,76316,0,2019,1
21,214,2019-05-23,92069,11980220,2019,1
21,214,2019-04-22,95685,0,2019,1
21,214,2019-04-23,100685,0,2019,1
21,214,2019-04-25,105051,1172172,2019,1
21,214,2019-04-17,108493,0,2019,1
21,214,2019-04-10,114067,0,2019,1
21,214,2019-04-24,120053,8950,2019,1
21,214,2019-04-23,120153,506648,2019,1
21,214,2019-04-22,138945,7444,2019,1
21,214,2019-04-22,144628,5442,2019,1
21,214,2019-04-05,147271,0,2019,1
21,214,2019-07-02,148831,99433,2019,1
21,214,2019-04-04,150677,0,2019,1
21,214,2019-04-09,162698,0,2019,1
21,214,2019-04-15,163301,0,2019,1
21,214,2019-04-11,167261,0,2019,1
21,214,2019-04-04,175305,0,2019,1
21,214,2019-06-19,183481,1830926,2019,1
21,214,2019-04-25,187488,1490,2019,1
21,214,2019-04-24,192986,445332,2019,1
21,214,2019-06-19,198631,250,2019,1
21,214,2019-04-15,15439,0,2019,1
21,214,2019-04-22,19742,0,2019,1
21,214,2020-05-18,26659,113939,2019,1
21,214,2019-04-24,34358,0,2019,1
21,214,2019-04-25,35320,787296,2019,1
21,214,2019-04-25,38283,0,2019,1
21,214,2019-04-15,40872,0,2019,1
21,214,2019-04-24,43494,2395662,2019,1
21,214,2019-04-25,45862,0,2019,1
21,214,2019-04-29,58915,2931,2019,1
21,214,2019-04-09,63464,241660,2019,1
21,214,2020-03-24,65893,900429,2019,1
21,214,2019-04-10,66070,0,2019,1
21,214,2019-04-23,66408,0,2019,1
21,214,2019-04-18,67892,0,2019,1
21,214,2019-04-10,68680,0,2019,1
21,214,2019-04-24,78909,283124,2019,1
21,214,2019-04-23,88331,0,2019,1
21,214,2019-10-28,88703,78211,2019,1
21,214,2019-04-24,90377,2383,2019,1
21,214,2019-04-14,90716,0,2019,1
21,214,2019-04-23,96109,33892,2019,1
21,214,2019-04-25,105752,0,2019,1
21,214,2019-04-18,138561,0,2019,1
21,214,2019-04-25,138591,0,2019,1
21,214,2019-04-25,146602,0,2019,1
21,214,2019-04-16,147029,0,2019,1
21,214,2019-12-27,147360,53705,2019,1
21,214,2019-11-11,151686,32650,2019,1
21,214,2019-04-15,158509,0,2019,1
21,214,2019-10-31,163540,2315518,2019,1
21,214,2019-04-25,164024,0,2019,1
21,214,2019-04-19,169700,0,2019,1
21,214,2019-04-15,170418,0,2019,1
21,214,2019-04-19,170635,166019,2019,1
21,214,2019-04-17,181482,0,2019,1
21,214,2019-09-06,182043,0,2019,1
21,214,2019-07-01,188328,547912,2019,1
21,214,2019-04-16,5471,0,2019,1
21,214,2019-04-22,14287,195617,2019,1
21,214,2019-04-25,22539,426,2019,1
21,214,2019-04-16,27033,0,2019,1
21,214,2019-05-04,28221,167219,2019,1
21,214,2019-09-26,34867,247,2019,1
21,214,2019-04-23,37585,0,2019,1
21,214,2020-10-21,41857,0,2019,1
21,214,2019-04-19,46049,0,2019,1
21,214,2019-07-09,55108,0,2019,1
21,214,2019-04-25,58882,8829,2019,1
21,214,2019-07-25,61655,34772,2019,1
21,214,2019-04-25,62285,0,2019,1
21,214,2019-04-24,68566,502407,2019,1
21,214,2019-04-24,69240,22226,2019,1
21,214,2020-03-27,69957,5268456,2019,1
21,214,2019-04-25,74589,47203,2019,1
21,214,2019-04-05,77557,0,2019,1
21,214,2019-05-07,81280,0,2019,1
21,214,2019-04-25,82975,0,2019,1
21,214,2019-04-24,90797,6479,2019,1
21,214,2019-04-09,95307,0,2019,1
21,214,2019-04-10,110289,125574,2019,1
21,214,2019-04-24,120754,944,2019,1
21,214,2019-05-27,132060,997108,2019,1
21,214,2019-04-16,136551,100536,2019,1
21,214,2019-04-15,138785,0,2019,1
21,214,2019-04-25,143137,55402,2019,1
21,214,2019-04-19,145526,0,2019,1
21,214,2019-04-02,151545,0,2019,1
21,214,2019-04-03,151746,0,2019,1
21,214,2019-04-23,157140,31509,2019,1
21,214,2019-04-15,158557,0,2019,1
21,214,2019-04-05,162463,0,2019,1
21,214,2019-04-25,164861,705595,2019,1
21,214,2019-04-17,176233,0,2019,1
21,214,2019-04-25,182000,0,2019,1
21,214,2019-04-08,186170,0,2019,1
21,214,2019-04-09,8797,0,2019,1
21,214,2019-04-04,15190,0,2019,1
21,214,2019-04-21,20164,72507,2019,1
21,214,2019-07-04,21312,53575,2019,1
21,214,2019-04-15,23029,0,2019,1
21,214,2019-04-03,26572,0,2019,1
21,214,2019-04-19,33806,0,2019,1
21,214,2019-04-09,33880,0,2019,1
21,214,2019-04-25,36929,3523802,2019,1
21,214,2019-04-17,38065,5137,2019,1
21,214,2019-04-02,38147,0,2019,1
21,214,2019-04-15,40881,0,2019,1
21,214,2019-04-22,42575,0,2019,1
21,214,2019-04-19,46740,0,2019,1
21,214,2019-04-11,65648,0,2019,1
21,214,2019-04-08,66021,82645,2019,1
21,214,2019-12-17,69533,11759,2019,1
21,214,2019-04-25,79508,48332,2019,1
21,214,2019-04-19,82093,0,2019,1
21,214,2020-01-27,84748,1307635,2019,1
21,214,2019-04-15,104068,0,2019,1
21,214,2019-06-19,104459,0,2019,1
21,214,2019-06-14,111824,0,2019,1
21,214,2019-12-27,111883,125400,2019,1
21,214,2019-04-15,112259,52347,2019,1
21,214,2019-04-24,125896,50000,2019,1
21,214,2019-04-25,128501,7279263,2019,1
21,214,2019-06-24,152170,298596,2019,1
21,214,2019-04-25,157963,0,2019,1
21,214,2019-04-16,164514,0,2019,1
21,214,2019-04-09,165405,0,2019,1
21,214,2019-04-15,165580,0,2019,1
21,214,2019-04-23,168854,0,2019,1
21,214,2019-04-23,184078,291605,2019,1
21,214,2019-11-12,184968,277021,2019,1
21,214,2019-06-06,189608,14802,2019,1
21,214,2021-01-18,18632,1980,2019,1
21,214,2019-04-25,24712,30697,2019,1
21,214,2019-04-25,27890,0,2019,1
21,214,2019-04-23,40685,0,2019,1
21,214,2019-04-15,47070,0,2019,1
21,214,2019-04-15,50436,0,2019,1
21,214,2020-04-21,58567,222093,2019,1
21,214,2020-02-26,61753,5048982,2019,1
21,214,2019-04-16,71094,60865,2019,1
21,214,2019-04-25,71432,0,2019,1
21,214,2019-04-16,72927,0,2019,1
21,214,2019-07-08,78862,70142,2019,1
21,214,2019-04-12,90708,0,2019,1
21,214,2019-05-28,94969,0,2019,1
21,214,2019-04-16,98696,0,2019,1
21,214,2019-04-29,99115,100,2019,1
21,231,2019-04-15,102396,0,2019,1
21,214,2019-04-16,108864,0,2019,1
21,214,2019-04-11,111292,0,2019,1
21,214,2019-04-11,117513,0,2019,1
21,214,2019-04-08,120327,15460,2019,1
21,214,2019-04-03,127185,17853,2019,1
21,214,2019-07-17,128877,801186,2019,1
21,214,2019-10-11,130643,0,2019,1
21,214,2019-04-25,139101,117082,2019,1
21,214,2019-04-19,140718,29644,2019,1
21,214,2019-04-04,156948,0,2019,1
21,214,2019-04-25,169404,476167,2019,1
21,214,2020-04-16,169899,22313127,2019,1
21,214,2019-07-21,176791,0,2019,1
21,214,2020-07-09,176917,13951253,2019,1
21,214,2019-04-08,188770,0,2019,1
21,214,2019-04-24,198164,36487,2019,1
21,214,2019-10-17,5043,6261033,2019,1
21,214,2019-04-22,7496,87637,2019,1
21,214,2019-04-15,36335,0,2019,1
21,214,2019-04-02,48394,0,2019,1
21,214,2019-04-15,49747,0,2019,1
21,214,2019-06-11,53703,21069,2019,1
21,214,2019-04-24,58149,26658,2019,1
21,214,2019-04-18,59509,36,2019,1
21,214,2019-04-24,67166,0,2019,1
21,214,2019-04-18,71735,0,2019,1
21,214,2019-04-09,92317,0,2019,1
21,214,2019-09-30,93270,9649,2019,1
21,214,2020-01-22,111206,5142,2019,1
21,214,2019-04-11,115839,116553,2019,1
21,214,2019-04-24,116376,289308,2019,1
21,214,2019-04-16,139050,0,2019,1
21,214,2019-04-24,143451,26006,2019,1
21,214,2019-04-16,153562,0,2019,1
21,214,2019-09-19,154627,7875,2019,1
21,214,2019-04-24,159875,72892,2019,1
21,214,2019-04-24,169948,366045,2019,1
21,214,2019-04-16,172063,0,2019,1
21,214,2019-04-24,197234,1979387,2019,1
21,214,2019-04-23,4936,1248333,2019,1
21,214,2019-04-24,9078,1635,2019,1
21,214,2019-04-23,11617,11753286,2019,1
21,214,2019-04-23,15917,8366,2019,1
21,214,2019-04-24,19638,240678,2019,1
21,214,2019-04-24,22600,0,2019,1
21,214,2019-04-08,28802,0,2019,1
21,214,2019-09-10,40894,0,2019,1
21,214,2019-04-25,50123,2692832,2019,1
21,214,2019-04-04,50964,0,2019,1
21,214,2019-04-23,59668,25680,2019,1
21,214,2019-04-24,67702,16067,2019,1
21,214,2019-04-22,70912,1066,2019,1
21,214,2019-11-01,76394,11552,2019,1
21,214,2019-04-09,82632,0,2019,1
21,214,2019-12-04,93981,4904,2019,1
21,214,2019-04-23,102799,27496,2019,1
21,214,2019-04-08,129565,0,2019,1
21,214,2019-04-15,131568,0,2019,1
21,214,2019-08-01,152206,0,2019,1
21,214,2019-04-08,157315,0,2019,1
21,214,2019-04-25,164225,44676,2019,1
21,214,2019-04-24,167725,298769,2019,1
21,214,2019-12-02,183636,40641,2019,1
21,214,2019-04-25,187937,55201,2019,1
21,214,2019-04-22,195379,0,2019,1
21,214,2019-04-25,196262,123430,2019,1
21,214,2019-11-15,10332,75760,2019,1
21,214,2019-04-17,19131,0,2019,1
21,214,2019-08-05,21728,0,2019,1
21,214,2019-04-05,23273,0,2019,1
21,214,2019-10-04,23635,2652575,2019,1
21,214,2019-04-25,32057,0,2019,1
21,214,2019-04-24,35119,109683,2019,1
21,214,2019-04-25,39331,91243,2019,1
21,214,2019-04-10,47972,0,2019,1
21,214,2019-07-21,62332,4833,2019,1
21,214,2020-03-19,72860,559057,2019,1
21,214,2019-04-25,92732,15066174,2019,1
21,214,2019-04-24,111869,0,2019,1
21,214,2019-04-29,125161,0,2019,1
21,214,2019-04-08,126104,0,2019,1
21,214,2019-04-22,130662,0,2019,1
21,214,2019-08-07,132737,0,2019,1
21,214,2019-07-26,137132,41589,2019,1
21,214,2019-04-23,138899,0,2019,1
21,214,2019-04-19,147365,3148510,2019,1
21,214,2019-04-24,150213,8561908,2019,1
21,214,2019-04-02,155876,0,2019,1
21,214,2019-04-05,162473,0,2019,1
21,214,2020-04-22,163323,0,2019,1
21,214,2019-04-04,165203,0,2019,1
21,214,2019-06-07,166363,108944,2019,1
21,214,2019-06-04,179793,462945,2019,1
21,214,2019-04-22,1343,0,2019,1
21,214,2019-09-20,18999,1655496,2019,1
21,214,2019-04-04,22555,0,2019,1
21,214,2020-10-19,30772,3369,2019,1
21,214,2019-04-10,34604,0,2019,1
21,214,2019-04-16,36821,0,2019,1
21,214,2019-04-13,51240,683242,2019,1
21,214,2019-04-24,58136,0,2019,1
21,214,2019-04-16,67256,0,2019,1
21,213,2020-11-09,69101,194833812,2019,1
21,214,2019-04-15,73713,0,2019,1
21,214,2019-04-20,80558,11114,2019,1
21,214,2019-04-24,84615,0,2019,1
21,214,2019-11-15,98750,16,2019,1
21,214,2019-07-29,101340,129659,2019,1
21,214,2019-04-08,102506,0,2019,1
21,214,2019-04-25,109769,0,2019,1
21,214,2019-06-18,112728,408756,2019,1
21,214,2019-04-04,116373,0,2019,1
21,214,2019-04-25,118958,0,2019,1
21,214,2019-04-24,122341,12553012,2019,1
21,214,2019-04-24,126713,21702117,2019,1
21,214,2019-04-04,130265,0,2019,1
21,214,2019-04-04,130291,0,2019,1
21,214,2019-04-25,136303,170700,2019,1
21,214,2019-04-25,143398,11019300,2019,1
21,214,2019-04-04,147382,0,2019,1
21,214,2019-07-02,156003,56171,2019,1
21,214,2019-04-17,157092,3056,2019,1
21,214,2019-04-11,161196,10836,2019,1
21,214,2019-04-05,173414,0,2019,1
21,214,2019-04-15,176877,0,2019,1
21,214,2019-11-25,197579,125015,2019,1
21,214,2019-04-15,18034,0,2019,1
21,214,2019-04-24,18356,49673,2019,1
21,214,2019-04-25,34559,284280,2019,1
21,214,2019-06-18,38239,0,2019,1
21,214,2019-04-17,48763,0,2019,1
21,214,2019-04-20,52500,0,2019,1
